Supplementary Dataset 3 - Universe of biomolecular components used in modeling prokaryotic biomass in manually curated GEMs,,,
Biomolecular components - 518,tRNA charged - 20,Inorganic ions - 16,Water
_[GlcNAc-(1->4)-Mur2Ac(oyl-L-Ala-g-D-Glu-A2pm-D-Ala-D-Ala)]n-,_alatrna,_ca2,_h2o
_10fthf,_argtrna,_cl,
_12dgr_n,_asntrna,_cobalt2,
_26dap_LL,_asptrna,_cu2,
_26dap_M,_cystrna,_fe2,
_2dmmq_n,_glntrna,_fe3,
_2dmmql8,_glutrna,_h,
_2fe2s,_glytrna,_k,
_2ohph,_histrna,_mg2,
_2oph,_iletrna,_mn2,
_2pg,_leutrna,_mobd,
_3_Phosphatidyl_1'_(3'_O_L_lysyl)glycerol,_lystrna,_na1,
_3g12dgr_,_mettrna,_nh4,
_3hbycoa,_phetrna,_ni2,
_3hdpgpe,_protrna,_so4,
_3hdpgpg,_sertrna,_zn2,
_3hdpgpi,_thrtrna,,
_3hdpgps,_trptrna,,
_3pg,_tyrtrna,,
_4fe4s,_valtrna,,
_4hba,,,
_5fthf,,,
_5mdr1p,,,
_5mthf,,,
_6pgc,,,
_9hdcoa,,,
_9odecoa,,,
_aacoa,,,
_Ac1PIM1,,,
_Ac1PIM2,,,
_Ac1PIM3,,,
_Ac1PIM4,,,
_ac2pim1,,,
_ac2pim2,,,
_ac3pim5,,,
_ac4pim6,,,
_ac4pim7,,,
_accoa,,,
_acgal,,,
_acgam,,,
_acgam1p,,,
_acgam6p,,,
_acp,,,
_acyl-coa-wax,,,
_acyl-oh-wax,,,
_adn,,,
_adocbl,,,
_adocblhbi,,,
_ADP,,,
_adphep_DD,,,
_adphep_LD,,,
_agpe,,,
_agpg,,,
_akg,,,
_ala_D,,,
_ala_L,,,
_alaala,,,
_amet,,,
_amp,,,
_Anteisoheptadecanoylcardiolipin,,,
_Anteisoheptadecanoyllysylphosphatidylglycerol,,,
_Anteisopentadecanoylcardiolipin,,,
_Anteisopentadecanoyllysylphosphatidylglycerol,,,
_arabinanagalfragund,,,
_arabinogalactandpp,,,
_arach,,,
_arafdpp,,,
_archaeol,,,
_arg_L,,,
_asn_L,,,
_asp_L,,,
_atocophe,,,
_atp,,,
_bcarote,,,
_bmocogdp,,,
_btamp,,,
_btn,,,
_btocophe,,,
_C120OH,,,
_cclpn170,,,
_cclpn190,,,
_cdp,,,
_cdpribitol,,,
_cellulose,,,
_chla,,,
_chor,,,
_cis-hexadec-7-enoate,,,
_cis-octadec-9-enoate,,,
_cit,,,
_citr_L,,,
_clpn,,,
_clpn120,,,
_clpn140,,,
_clpn160,,,
_clpn160190,,,
_clpn161,,,
_clpn180,,,
_clpn181,,,
_cmp,,,
_cmpacnam,,,
_coa,,,
_cob,,,
_com,,,
_cpe160,,,
_cpe170,,,
_cpe180,,,
_cpe190,,,
_cpg160,,,
_cpg170,,,
_cpg180,,,
_cpg190,,,
_ctp,,,
_cyanophycin,,,
_cyclitol,,,
_cys_L,,,
_cytd,,,
_d12dg_,,,
_dag,,,
_damp,,,
_datp,,,
_dcmp,,,
_dctp,,,
_ddca,,,
_ddcaACP,,,
_decACP,,,
_decdpr,,,
_dgdg,,,
_dgdg161,,,
_dgdg180,,,
_dgdg181,,,
_dgdg181_9,,,
_dgdg182_9_12,,,
_dgdg183_6_9_12,,,
_dgdg183_9_12_15,,,
_dgdg184_6_9_12_15,,,
_dgmp,,,
_dgtp,,,
_dhf,,,
_Dianteisoheptadecanoylphosphatidylethanolamine,,,
_Dianteisoheptadecanoylphosphatidylglycerol,,,
_Dianteisopentadecanoylphosphatidylethanolamine,,,
_Dianteisopentadecanoylphosphatidylglycerol,,,
_Diglucosyl_1_2_dianteisoheptadecanoylglycerol,,,
_Diglucosyl_1_2_dianteisopentadecanoylglycerol,,,
_Diglucosyl_1_2_diisoheptadecanoylglycerol,,,
_Diglucosyl_1_2_diisohexadecanoylglycerol,,,
_Diglucosyl_1_2_diisopentadecanoylglycerol,,,
_Diglucosyl_1_2_diisotetradecanoylglycerol,,,
_Diglucosyl_1_2_dimyristoylglycerol,,,
_Diglucosyl_1_2_dipalmitoylglycerol,,,
_Diglucosyl_1_2_distearoylglycerol,,,
_Diisoheptadecanoylphosphatidylethanolamine,,,
_Diisoheptadecanoylphosphatidylglycerol,,,
_Diisohexadecanoylphosphatidylethanolamine,,,
_Diisohexadecanoylphosphatidylglycerol,,,
_Diisopentadecanoylphosphatidylethanolamine,,,
_Diisopentadecanoylphosphatidylglycerol,,,
_Diisotetradecanoylphosphatidylethanolamine,,,
_Diisotetradecanoylphosphatidylglycerol,,,
_diphosphoundecaprenyl_GlcNAc_MurNAc_pentapeptide_n_1_,,,
_diplopterol,,,
_dmosACP,,,
_dmpp,,,
_dmtaACP,,,
_dpgpe,,,
_dpgpg,,,
_dpgpi,,,
_dpgps,,,
_dppara,,,
_dppr,,,
_dtdprmn,,,
_dtmp,,,
_dtocophe,,,
_dttp,,,
_echin,,,
_eicosanoyl_coa,,,
_enter,,,
_ethamp,,,
_f390a,,,
_f390g,,,
_f420_2,,,
_f420_3,,,
_f420_4,,,
_f420_5,,,
_f420_6,,,
_f420_7,,,
_f430,,,
_fa1,,,
_fa11,,,
_fa12,,,
_fa3,,,
_fa4,,,
_fa6,,,
_fa9,,,
_fad,,,
_fadh2,,,
_fcmcbtt,,,
_fdxox,,,
_fdxrd,,,
_ferriheme,,,
_fmettrna,,,
_fmn,,,
_fmnh2,,,
_folic_acid,,,
_fum,,,
_g1p,,,
_g3p,,,
_g6p,,,
_gal,,,
_GAM,,,
_gam1p,,,
_gam6p,,,
_gamolenic_acid,,,
_gcarote,,,
_gdp,,,
_gdpgpi,,,
_gdpmann,,,
_glc_D,,,
_glcp_,,,
_glcur,,,
_gln_L,,,
_glu_D,,,
_glu_L,,,
_glx,,,
_gly,,,
_glyc,,,
_glycerophosphoglycoglycerolipid,,,
_glycogen,,,
_glycolipid_1,,,
_glycolipid_2,,,
_gmp,,,
_gsn,,,
_gthrd,,,
_gtocophe,,,
_gtp,,,
_h4mpt,,,
_h4spt,,,
_hdca,,,
_hdcea,,,
_hdeACP,,,
_hedacp,,,
_hemeA,,,
_hemeD,,,
_hemeO,,,
_hexc,,,
_hexccoa,,,
_his_L,,,
_hmbil,,,
_hmfurn,,,
_hopene,,,
_hpdACP,,,
_hpdca,,,
_hpdeACP,,,
_hspmd,,,
_ile_L,,,
_Isoheptadecanoylcardiolipin,,,
_Isoheptadecanoyllysylphophatidylglycerol,,,
_Isohexadecanoylcardiolipin,,,
_Isohexadecanoyllysylphophatidylglycerol,,,
_Isopentadecanoylcardiolipin,,,
_Isopentadecanoyllysylphophatidylglycerol,,,
_Isotetradecanoyllysylphophatidylglycerol,,,
_kdo,,,
_kmycolate,,,
_leu_L,,,
_linoleate,,,
_linolenate,,,
_lipidA,,,
_lipomannan,,,
_lipopb,,,
_lipt,,,
_lpe,,,
_lps_,,,
_lta_,,,
_lycopene,,,
_lys_L,,,
_lysophosphatidylglycerol,,,
_lysylpg,,,
_m12dg,,,
_mal_L,,,
_malcoa,,,
_man,,,
_man1p,,,
_man6p,,,
_mapc,,,
_mas,,,
_mbhn,,,
_mbt_holo,,,
_mcbts,,,
_met_L,,,
_methylsuccinyl_coA,,,
_mfr_b,,,
_mfrrppdima,,,
_mgdg,,,
_mgdg161,,,
_mgdg180,,,
_mgdg181,,,
_mgdg181_9,,,
_mgdg182_9_12,,,
_mgdg183_6_9_12,,,
_mgdg183_9_12_15,,,
_mgdg184_6_9_12_15,,,
_mkmycolate,,,
_mlthf,,,
_mmcoa_S,,,
_mmmycolate,,,
_mocdca,,,
_mococdp,,,
_mocogdp,,,
_Monoglucosyl_1_2_dianteisoheptadecanoylglycerol,,,
_Monoglucosyl_1_2_dianteisopentadecanoylglycerol,,,
_Monoglucosyl_1_2_diisoheptadecanoylglycerol,,,
_Monoglucosyl_1_2_diisohexadecanoylglycerol,,,
_Monoglucosyl_1_2_diisopentadecanoylglycerol,,,
_Monoglucosyl_1_2_diisotetradecanoylglycerol,,,
_Monoglucosyl_1_2_dimyristoylglycerol,,,
_Monoglucosyl_1_2_dipalmitoylglycerol,,,
_Monoglucosyl_1_2_distearoylglycerol,,,
_mql7,,,
_mql8,,,
_mqn_n,,,
_murein3p3p,,,
_murein3px4p,,,
_murein4p4p,,,
_murein4px4p,,,
_murein4px4px4p,,,
_murein5p5p,,,
_murein5px4p,,,
_mycolate,,,
_mycothiol,,,
_Myristoylcardiolipin,,,
_Myristoyllysylphophatidylglycerol,,,
_myrsACP,,,
_nad,,,
_nadh,,,
_nadp,,,
_nadph,,,
_nonACP,,,
_nonadecanoyl_coa,,,
_ocdACP,,,
_ocdca,,,
_ocdcea,,,
_octdp,,,
_octeACP,,,
_ornithine_lipid_14,,,
_ornithine_lipid_16,,,
_pa_n,,,
_pa120,,,
_pa140,,,
_pa141,,,
_pa160,,,
_pa160190,,,
_pa161,,,
_pa180,,,
_pa181,,,
_pa190190,,,
_pala_,,,
_Palmitoylcardiolipin,,,
_Palmitoyllysylphophatidylglycerol,,,
_pan4p,,,
_pat,,,
_pc_,,,
_pdACP,,,
_pdcoa,,,
_pdima,,,
_pdx,,,
_pe,,,
_pe120,,,
_pe140,,,
_pe160,,,
_pe161,,,
_pe180,,,
_pe181,,,
_pe181_9,,,
_pep,,,
_peptido_,,,
_pg,,,
_pg120,,,
_pg140,,,
_pg141,,,
_pg141b,,,
_pg160,,,
_pg160190,,,
_pg160a,,,
_pg160b,,,
_pg160c,,,
_pg161,,,
_pg180,,,
_pg181,,,
_pg181_9,,,
_pg182_9_12,,,
_pg183_6_9_12,,,
_pg183_9_12_15,,,
_pg184_6_9_12_15,,,
_pg190,,,
_pgly_,,,
_pgp160,,,
_phdca,,,
_phe_L,,,
_pheme,,,
_phllqne,,,
_Phosphatidylinositol,,,
_phosphatidylleucine,,,
_phosphatidyllysine,,,
_pi,,,
_PIM1,,,
_pim2,,,
_PIM3,,,
_PIM4,,,
_PIM5,,,
_PIM6,,,
_pmtcoa,,,
_pnto_R,,,
_poly_beta_hydroxybutyrate,,,
_poly_l_glutamate_glutamine,,,
_poly-saccharide,,,
_polygp,,,
_ppcoa,,,
_ppdima,,,
_ppi,,,
_ppp9,,,
_pqq,,,
_pro_L,,,
_ps,,,
_ps160,,,
_ps161,,,
_ps180,,,
_ps181_9,,,
_ptdmeeta,,,
_ptrc,,,
_pydx5p,,,
_pyr,,,
_q_n,,,
_q8h2,,,
_quln,,,
_r5p,,,
_retinal,,,
_rib_D,,,
_ribflv,,,
_rmn,,,
_ser_L,,,
_sheme,,,
_sl1,,,
_spheroidene,,,
_spirilloxanthin,,,
_spmd,,,
_sqdg,,,
_sqdg161,,,
_sqdg180,,,
_sqdg181,,,
_sqdg181_9,,,
_sqdg182_9_12,,,
_sqdg183_6_9_12,,,
_sqdg183_9_12_15,,,
_sqdg184_6_9_12_15,,,
_stcoa,,,
_stearidonic_acid,,,
_Stearoylcardiolipin,,,
_Stearoyllysylphophatidylglycerol,,,
_succ,,,
_succoa,,,
_t12dg,,,
_tat,,,
_tdeACP,,,
_teich,,,
_thbh,,,
_thbhet,,,
_thbhga,,,
_thf,,,
_thm,,,
_thmpp,,,
_thr_L,,,
_thym,,,
_thymd,,,
_tmha1,,,
_tmha2,,,
_tmha3,,,
_tmha4,,,
_tre,,,
_tre6p,,,
_trehalose_dimycolate,,,
_trehalose_monomycolate,,,
_tres,,,
_Triglucosyl_1_2_dianteisoheptadecanoylglycerol,,,
_Triglucosyl_1_2_dianteisopentadecanoylglycerol,,,
_Triglucosyl_1_2_diisoheptadecanoylglycerol,,,
_Triglucosyl_1_2_diisohexadecanoylglycerol,,,
_Triglucosyl_1_2_diisopentadecanoylglycerol,,,
_Triglucosyl_1_2_diisotetradecanoylglycerol,,,
_Triglucosyl_1_2_dimyristoylglycerol,,,
_Triglucosyl_1_2_dipalmitoylglycerol,,,
_Triglucosyl_1_2_distearoylglycerol,,,
_triglyc_,,,
_trp_L,,,
_ttccoa,,,
_ttdca,,,
_tyr_L,,,
_uaaAgla,,,
_uaaGgla,,,
_uaagmda,,,
_uacgam,,,
_uamr,,,
_udcpdp,,,
_udcpp,,,
_udpacgal,,,
_udpg,,,
_udpgal,,,
_udpgalur,,,
_ugagmda,,,
_ump,,,
_uri,,,
_utp,,,
_val_L,,,
_zeax,,,
