gene_id,abundance
NP_416348.2,10
NP_416678.1,55
NP_416693.1,24
NP_416796.2,1220
NP_417558.2,186
NP_417451.1,148
NP_417810.1,115
NP_416923.1,39
NP_417632.1,299
NP_414978.1,306
NP_418202.4,33
NP_415447.1,842
NP_415606.1,1173
NP_415843.2,48
NP_415563.1,69
NP_417175.1,159
NP_418589.1,914
NP_414885.1,256
NP_415698.1,103
NP_415620.1,19
NP_418181.1,113
NP_415011.1,86
NP_417926.1,12
NP_418067.1,4265
NP_418142.1,363
NP_418640.1,687
NP_417223.1,188
NP_418223.1,1088
NP_417110.1,330
NP_417702.1,74
NP_416171.1,6421
NP_415475.1,39
NP_417257.1,192
NP_416568.1,25
NP_414626.1,11
NP_415411.2,716
NP_414723.1,974
NP_414724.1,31
NP_418654.1,353
NP_414632.1,92
NP_414945.1,1329
NP_416536.1,61
NP_417664.1,84
NP_415399.4,32
NP_416848.1,344
NP_416635.1,118
NP_418078.1,62
YP_026255.1,41
NP_418196.1,409
NP_418232.2,140
NP_415482.1,38
NP_418428.1,132932
NP_417075.1,113
YP_026280.1,147
NP_417502.1,39
NP_417004.1,35
YP_026222.1,577
NP_414880.2,11
NP_418423.1,239
NP_415039.1,206
NP_417194.2,17
YP_026246.1,73
NP_417068.1,389
NP_414928.2,201
NP_417745.1,886
NP_417725.1,201
NP_414939.1,415
NP_417772.1,33115
NP_417763.1,6146
NP_417653.1,7358
NP_417756.1,10769
NP_417801.1,2322
NP_417100.1,65082
NP_414564.1,28843
NP_416833.4,1405
NP_417088.1,2154
NP_414593.1,253
NP_415947.1,224
NP_417741.1,414
NP_415726.1,186
NP_417226.1,1486
NP_415299.1,440
NP_415297.1,72
NP_414590.1,295
NP_416806.1,1182
NP_418303.2,77
NP_417069.1,30
NP_416224.1,63
NP_415306.1,458
NP_415373.1,50
NP_418512.1,19
NP_418204.2,177
NP_417845.1,524
NP_417980.1,467
NP_417043.1,24
NP_418659.1,30
NP_416894.1,122
NP_415056.1,3610
NP_417161.1,14
NP_415621.3,1990
NP_417054.2,26
NP_417048.1,1276
NP_416168.1,1966
NP_416530.1,1903
NP_416809.1,142
NP_417165.1,786
NP_415141.1,19
NP_415443.2,340
NP_418630.1,6
NP_417985.1,37
NP_418359.1,184
NP_417814.1,173
NP_416279.1,2013
NP_418292.1,106
NP_418007.3,31
NP_415414.4,1
NP_418577.1,165
NP_418051.1,31
NP_417521.1,27
NP_414993.1,198
NP_415696.1,485
NP_414738.1,779
NP_415342.1,56
NP_415963.1,380
NP_416416.2,460
NP_417433.1,171
NP_418059.1,1538
NP_417857.1,41
NP_418390.1,53
YP_026254.1,111
NP_415807.1,23
NP_415265.1,268
NP_418347.1,45
NP_415850.1,609
NP_416007.3,7
NP_416870.1,52
NP_416424.1,123
NP_416494.1,69
NP_417023.1,1451
NP_414821.1,651
NP_414987.3,4627
NP_415061.2,408
NP_415164.1,4131
NP_415767.2,2116
NP_416306.2,221
NP_416389.4,281
NP_416628.1,33
NP_414938.1,22
NP_416247.1,39
NP_418469.1,454
NP_418481.1,415
NP_417569.1,9434
NP_415803.2,70
NP_417373.1,190
NP_417386.1,813
NP_417844.1,738
NP_414758.1,59
NP_415553.1,678
NP_416055.1,12
NP_416141.4,53
NP_416464.1,39
NP_417625.1,628
NP_417291.1,196
NP_414748.1,282
NP_414688.1,43
NP_418637.1,44
NP_417949.1,53
NP_418502.1,128
NP_417180.1,87
NP_416381.2,18
NP_416201.1,313
NP_418264.4,107
YP_025309.2,77
NP_418710.4,11
NP_415286.1,6
NP_415737.1,2021
NP_417748.1,42
NP_416012.1,1
NP_418707.1,14
NP_418470.4,70
NP_415137.2,130
NP_416343.1,451
NP_418141.2,20
NP_414569.1,1255
NP_418806.1,39
NP_416321.1,105
NP_414638.1,131
NP_417716.1,51
NP_417749.1,1409
NP_418402.2,67
NP_415166.1,290
NP_416320.1,73
NP_415174.1,307
NP_418627.4,194
NP_418632.1,269
NP_418641.1,36
NP_414761.1,260
NP_414974.1,41918
NP_418591.1,8
NP_418258.1,31
NP_414956.1,921
NP_417506.1,139
NP_415851.1,57
NP_415318.1,25
NP_416962.1,2491
NP_416337.1,58803
NP_415401.1,1247
NP_415156.1,17168
NP_417454.1,19
NP_416792.1,18
NP_417693.3,117
NP_417938.1,541
NP_415917.1,11
NP_414655.1,102
NP_416662.1,122
NP_417600.1,30
NP_418320.2,39
NP_418061.1,17
NP_415258.1,54
NP_417153.1,143
NP_417751.1,26
NP_417528.1,64
NP_415404.1,4495
NP_415729.1,231
NP_415144.1,50
NP_416231.1,3577
NP_417777.1,1877
NP_417652.1,23305
NP_417771.1,52939
NP_415607.1,26636
NP_418093.1,27960
NP_417766.1,10079
NP_417634.1,33110
NP_417770.1,4180
NP_417670.1,2312
NP_415785.1,114
NP_417747.1,58
NP_418108.1,25
NP_416323.4,1854
NP_417227.1,67
NP_414986.1,239
NP_415612.1,28944
NP_414578.2,59
NP_417109.1,33
NP_414570.1,224
NP_415765.1,10
NP_414550.1,47
NP_416913.1,52
NP_418463.4,154
NP_415298.1,6
NP_418404.1,19
NP_415347.1,94
NP_418364.1,1559
NP_416606.1,28
NP_417387.3,35
NP_417382.1,17
NP_417282.1,3
NP_418362.1,46
NP_417690.1,22
NP_417184.1,10
NP_417618.1,293
NP_417890.1,76
NP_418543.1,12
NP_417907.2,29
NP_418024.1,1
NP_418317.1,19
NP_414870.1,211
NP_416995.1,459
NP_417304.1,383
NP_417162.1,43
NP_414807.1,149
NP_414922.1,680
NP_416974.4,324
NP_416745.1,4
NP_418445.1,140
NP_417276.1,66
NP_418805.1,188
NP_417560.1,58
NP_415535.1,77
NP_415385.1,588
NP_418254.2,362
NP_416936.4,32
NP_415331.1,34
NP_414742.1,316
NP_414795.1,151
NP_417544.5,34
NP_415376.4,44
NP_416427.1,375
NP_415694.1,171
NP_416907.1,1042
NP_415903.4,8
NP_415742.1,0
NP_417311.1,243
NP_417906.1,195
NP_415488.1,118
NP_418546.1,15
NP_417470.1,148
NP_415372.1,211
NP_417629.1,110
NP_414924.1,107
NP_417966.4,75
NP_415327.2,6801
NP_415569.4,3968
YP_026160.1,1499
NP_414863.1,4029
NP_414923.1,353
NP_415523.1,2565
NP_415581.1,373
NP_416182.1,2912
NP_416686.1,95
NP_416828.1,450
NP_416944.1,53
YP_026214.1,39
NP_418112.1,70
NP_415811.1,304
NP_415893.2,31
YP_026252.1,60
NP_415018.1,55
NP_416111.1,19
NP_416369.1,71
NP_416513.1,499
NP_415623.1,705
,17
NP_417435.1,443
NP_417511.2,208
NP_418574.1,19
NP_418768.1,19
NP_414910.1,36
NP_415710.1,107
NP_417642.1,2475
NP_418282.1,213
NP_418408.1,152
NP_418440.1,3
NP_417176.1,1907
NP_416477.1,7
NP_415515.1,1
NP_416478.2,10
NP_417968.1,2
NP_415325.4,14
NP_415437.1,1959
NP_416845.2,1921
NP_417385.4,973
NP_417434.4,2921
NP_417509.3,127
NP_417805.4,523
NP_418153.4,511
NP_418278.1,41
NP_414891.4,365
NP_417019.1,2607
NP_414623.1,148
NP_415169.1,56
NP_417421.4,136
NP_418357.1,342
NP_416325.1,84
NP_417108.4,127
NP_415995.4,26
NP_418561.1,199
NP_417061.1,45
NP_418723.1,1
NP_415343.1,135
NP_416659.1,129
NP_416752.1,128
NP_418143.2,489
NP_417504.1,170
NP_414889.1,52
NP_415350.2,7
NP_417665.1,203
NP_418682.1,73
NP_418683.4,89
NP_417658.4,621
NP_415918.1,7
NP_418516.1,51
NP_415307.1,65
NP_415421.1,45
NP_416567.4,22
NP_418170.1,91
NP_417812.1,18
NP_418171.1,21
NP_417858.4,62
NP_417489.1,36
NP_417662.1,69
NP_416670.1,7
NP_415029.1,11
NP_416715.1,2
NP_418711.1,2
NP_415824.1,116
NP_415124.1,77
NP_414694.1,46
NP_415766.1,55
NP_414589.1,2
NP_414899.2,5
NP_416966.1,13
NP_416990.1,2244
NP_415968.1,6
NP_416372.1,22
NP_417154.1,482
NP_418444.1,3
NP_416271.4,17
NP_417825.1,10
NP_417210.2,16
NP_416573.4,22
NP_418367.1,467
NP_416449.1,6
YP_588473.1,2754
NP_416401.1,5
NP_418775.1,0
NP_415594.1,40
NP_416455.1,1
NP_416930.1,76
NP_418573.1,50
NP_414721.1,85
NP_417293.1,24
NP_418403.1,55
NP_414630.1,81
NP_418265.1,21
NP_416756.5,15
NP_416542.1,252
NP_418238.1,79
NP_418090.1,31
NP_414734.1,7
NP_416470.1,20
NP_417538.1,6
NP_415005.1,76
YP_026251.1,7
NP_418781.1,59
NP_414726.1,3
NP_415003.1,10
NP_416358.1,17
NP_416991.2,11
NP_414894.2,34
NP_417424.1,70
NP_416375.1,101
YP_026271.1,10
YP_026291.2,21
NP_415859.1,10
NP_417307.1,53
NP_418012.1,2375
NP_415143.1,435
NP_418810.1,167
NP_415939.2,133
NP_417542.1,85
NP_415800.1,82
NP_418199.1,114
YP_026239.1,42
NP_416029.1,45
NP_418098.4,152
NP_415951.1,15
NP_417056.2,44
NP_418633.4,20
NP_415153.1,8
NP_417598.1,70
NP_418623.1,25416
NP_418400.1,86
NP_415584.1,172
NP_415944.1,74
NP_417646.1,216
NP_417027.1,258
NP_417271.1,50
NP_417490.1,43
NP_417626.1,6
NP_417185.1,4
NP_417378.1,18
NP_414645.1,71
NP_416495.1,83
NP_418803.1,62
NP_416764.1,17
NP_414673.1,665
NP_416153.1,85
NP_416814.1,63
NP_415195.1,31
NP_416385.1,125
NP_417827.1,30
NP_416767.1,2
NP_415305.1,1168
NP_418807.4,16
NP_416336.1,13
NP_417284.1,265
NP_416411.1,138
NP_418743.1,20
NP_416252.1,505
NP_415010.1,46
NP_417601.1,6
NP_417320.1,19
NP_416028.3,6
NP_415260.1,2
NP_417976.1,11
NP_418113.1,1
NP_418309.1,12
NP_416569.1,513
NP_418097.1,3161
NP_418099.1,22
NP_418121.1,5
NP_416273.1,271
NP_417359.1,5
NP_417740.1,121
NP_414654.1,200
NP_418629.1,180
NP_416934.1,98
NP_414728.1,6
NP_415027.1,168
NP_415133.1,56
NP_415240.1,10
NP_415185.1,82
NP_417913.1,71
NP_416115.1,15
NP_417819.1,152
NP_415760.1,46
NP_416097.1,1
NP_418570.1,53
NP_417919.1,34
NP_417714.1,204
NP_415744.1,1
NP_416791.3,437
NP_416785.1,133
NP_418194.1,1155
NP_415262.1,43
NP_417468.1,5
NP_417197.1,11
NP_416042.2,17
NP_417343.1,9
NP_416068.2,1727
NP_417205.1,65
NP_414916.1,1894
NP_414918.4,41
YP_026256.2,29
NP_417017.4,436
NP_414664.4,66
NP_414946.4,192
NP_415211.2,35
NP_415789.1,680
NP_416265.4,1
NP_416339.1,441
NP_416350.4,1369
NP_416353.1,1393
NP_416945.2,46
NP_417157.1,33
NP_417472.1,1
NP_418568.2,822
NP_414991.4,145
NP_415689.2,4
NP_416100.1,459
NP_416463.4,83
NP_417427.1,212
NP_416367.1,25
NP_417802.1,184
NP_414716.1,31
NP_415538.1,10
NP_416853.1,114
YP_025307.1,8
NP_415388.1,54
NP_415266.1,174
NP_414941.1,5021
NP_415100.1,0
NP_416582.1,9
NP_414969.4,279
NP_416396.1,28
NP_415223.1,3
NP_415647.1,12
NP_416724.1,2
NP_417263.1,30
NP_415751.1,13
NP_418537.1,13
NP_418125.1,39
NP_416465.2,7
NP_417986.4,3
NP_418814.1,246
NP_416817.2,40
NP_418531.1,27
NP_417807.1,282
NP_414759.1,80
NP_414925.1,1345
NP_415398.1,3
NP_415481.1,268
NP_415631.1,20
NP_415706.1,5
NP_415943.4,1
NP_416362.1,296
NP_416834.1,74
NP_417158.4,501
NP_417979.1,25
NP_414698.1,3607
NP_416035.1,4
NP_418730.4,7
NP_418676.1,1939
NP_416199.1,395
NP_414661.2,171
NP_414989.1,75
NP_415111.1,177
NP_415764.4,140
NP_415472.2,84
NP_417272.1,137
NP_417566.1,37
NP_417570.1,12
NP_418643.1,1078
NP_418773.1,24
NP_417505.1,14
NP_416610.4,444
NP_415170.4,69
NP_414737.1,65
NP_418279.1,3
NP_417871.1,68
NP_415735.1,79
NP_418787.1,1
NP_416011.1,8
NP_418790.1,45
NP_417224.1,161
NP_415365.4,27
NP_415615.1,13
NP_415837.1,31
NP_416794.1,59
NP_416108.2,149
NP_418782.1,55
NP_418002.2,1
NP_414977.1,13
NP_415650.1,165
NP_416479.1,379
NP_417233.1,15
NP_414588.1,45
NP_417146.2,10
NP_414992.1,68
NP_415471.1,1
NP_418296.1,57
NP_418082.1,4
NP_415328.4,23
NP_415750.2,83
NP_415036.1,11
NP_415077.1,10
NP_415264.1,193
NP_415336.1,0
NP_415981.1,127
NP_415979.2,10
NP_416295.1,30
NP_416929.4,82
YP_588468.1,454
NP_418700.2,10
NP_415048.1,25
NP_416355.1,180
NP_415023.1,70
NP_417699.1,32
NP_415129.1,18
NP_414884.2,7
NP_415028.1,30
NP_416952.2,14
NP_416849.1,12
NP_418560.1,12
NP_417868.1,9
NP_415117.2,5
NP_415424.1,26
NP_418532.1,90
NP_414700.1,21
NP_418251.1,198
YP_026168.2,39
NP_416415.1,2
NP_414740.1,602
NP_418494.1,0
NP_416330.1,47
NP_415120.1,12
NP_418489.1,56
NP_415703.3,36
NP_415897.1,24
NP_416157.1,54
NP_416919.1,260
NP_417077.1,257
NP_417159.1,33
NP_415022.1,9
NP_416440.1,687
NP_415597.1,0
NP_416402.1,1
NP_416838.1,104
NP_418477.1,15
NP_418590.1,15
NP_417649.1,8
NP_415190.1,47
NP_414629.1,20
NP_415772.1,28
NP_415267.1,66
NP_415634.1,29
NP_414718.1,7
NP_415389.2,16
NP_416532.1,10
NP_415965.1,76
NP_416082.1,178
NP_414750.1,24
NP_414725.1,91
NP_414931.1,7
NP_416423.4,1
NP_417846.1,74
NP_414751.1,15
NP_418789.1,26
NP_418370.1,3
NP_415412.1,5
NP_417297.1,40
NP_417296.1,0
NP_418155.1,34
YP_026210.1,3
YP_026172.1,0
NP_416169.1,237
NP_417922.1,50
NP_416469.1,13
NP_416379.1,9
,75
NP_418369.1,9
NP_417546.1,24
NP_417565.2,44
NP_416432.3,1
NP_416656.1,0
NP_417288.1,5
NP_418442.2,7
NP_418272.1,45
NP_414731.2,738
NP_414744.1,8
NP_418031.1,91
YP_026245.1,158
NP_415361.1,26
NP_417285.1,7
NP_417187.1,12
NP_416284.1,23
NP_417150.4,6
NP_417834.6,11
NP_416166.3,3
NP_418599.1,872
NP_415815.1,111
NP_418026.1,1
NP_416058.1,96
NP_415819.4,22
NP_418011.1,4
NP_418715.2,7
NP_416112.1,3
NP_417483.2,56
NP_417657.2,499
NP_415637.1,9
NP_417727.1,3523
NP_418159.1,130
,5
NP_418158.1,14566
NP_417107.2,2725
NP_417859.1,17
NP_418751.4,2
NP_418579.2,35
NP_418446.1,16
NP_414830.1,3
NP_417647.1,281
NP_417898.1,6
NP_418669.1,15
NP_418608.6,3
NP_417365.1,17
NP_415608.2,51
NP_416641.1,72
NP_416590.1,42
NP_418318.1,6
NP_417313.1,6
NP_416110.4,4
NP_418425.1,31
NP_415008.1,19
NP_415172.1,40
NP_415272.1,60
NP_414951.1,103
NP_418091.1,62
NP_414684.1,214
NP_417245.1,283
NP_416607.1,3
NP_417383.1,63
NP_415483.2,869
NP_418514.1,35
YP_026181.1,0
NP_416134.1,1
YP_026238.1,0
NP_418148.1,12
NP_415346.4,110
NP_417280.1,1
NP_415041.1,6
NP_416030.1,0
NP_418457.1,1
NP_416332.1,110
NP_415363.1,17
NP_416653.1,1
NP_415542.1,2
NP_418206.1,6
NP_418661.1,15
NP_416488.1,34
NP_418615.1,28
NP_418025.1,0
NP_417688.1,129
NP_418722.1,9
NP_414702.1,2
NP_415754.1,92
NP_414641.1,4
NP_414858.1,2
NP_415652.1,46
NP_417290.1,12
NP_417974.1,25
NP_417380.1,648
NP_414984.1,58
NP_416359.1,0
NP_416328.1,4
NP_418165.1,10
NP_414729.4,136
NP_416326.1,36
NP_417432.1,5
NP_416935.1,12
NP_416811.1,104
NP_417933.1,4
NP_418517.1,340
NP_417164.1,30
NP_415810.1,20
NP_416682.4,10
NP_417348.1,10
NP_415614.1,28
NP_418718.4,26
NP_415352.1,72
NP_415761.1,96
NP_417040.2,2
NP_416651.1,1
NP_414625.1,59
NP_415860.1,78
NP_414767.1,18
NP_416260.1,5
NP_414846.1,85
NP_418328.1,0
NP_417371.1,690
NP_417453.1,33
NP_416746.1,0
NP_418501.1,7
NP_418198.1,4170
NP_417270.1,157
NP_415497.1,1
NP_414964.1,18
NP_417449.1,1
YP_026190.1,0
NP_415491.1,0
NP_417201.1,1
NP_416710.1,1
NP_416146.1,10
NP_416148.1,90
NP_415249.1,860
NP_415250.1,29
NP_416114.2,0
NP_417266.1,2
NP_417995.1,42
NP_415630.1,156
NP_415089.1,2525
NP_416245.2,80
NP_416142.1,46
NP_418102.2,0
NP_418740.1,17
YP_588446.1,1269
NP_417967.1,2099
NP_417466.1,110
NP_415821.1,318
NP_415997.1,3458
NP_414944.1,103
NP_415099.1,5
NP_415274.1,338
NP_416059.1,18
NP_416200.2,569
NP_416238.1,125
NP_416419.1,3
NP_416753.4,3
NP_417289.2,1446
NP_417705.2,35
NP_417821.1,25
NP_417924.1,60
YP_588470.1,642
NP_418780.2,211
NP_415900.1,83
NP_416274.1,139
NP_417739.1,302
NP_415775.4,64
NP_416679.4,17
NP_416041.1,5
NP_415730.1,2
NP_417804.1,25
NP_415489.4,482
YP_026257.1,5
NP_418242.1,30
NP_417049.1,9
NP_415858.1,9
NP_416965.1,1
NP_414653.1,4
NP_416579.1,0
NP_417971.1,0
NP_418430.2,2
NP_418646.1,72
NP_417067.1,44
NP_416126.1,6
NP_416842.1,61
NP_415324.1,3
NP_416630.1,0
NP_418645.2,9
NP_416722.2,1
NP_416681.1,1
NP_418815.1,8
NP_414933.1,7
NP_415857.2,3
NP_416052.1,1
NP_416300.2,1
NP_416308.4,3
NP_416896.4,1
NP_418389.1,2
NP_415558.1,0
NP_416771.4,7
NP_414643.1,95
NP_414732.1,2
NP_414921.2,49
NP_414888.4,88
YP_588442.1,1
NP_415235.1,0
NP_415301.1,4
NP_415387.1,87
NP_415426.1,4
NP_415749.1,7
NP_415795.1,58
NP_415838.1,19
NP_415901.2,9
NP_416291.4,79
NP_416382.1,0
YP_025310.1,2
NP_416692.1,299
NP_417084.1,22
NP_417428.2,46
NP_417813.1,0
NP_418255.1,10
YP_026284.1,35719
NP_415955.2,189
NP_415486.4,15
NP_417666.1,58
NP_415476.1,52
NP_416827.4,7
NP_415908.1,1
NP_417531.1,0
NP_418276.1,1
YP_588441.1,106
NP_415628.1,52
NP_414842.4,2
YP_026202.1,7
YP_026208.1,1
NP_418550.1,104
NP_416466.1,22
YP_588464.1,40
NP_418642.1,3
NP_418690.4,1
NP_415026.1,39
NP_418488.1,81
NP_416770.1,139
NP_418564.2,1
NP_417261.1,2
NP_416537.1,41
NP_415016.4,40
NP_415192.1,14
NP_415311.1,9
NP_415368.1,0
NP_415994.4,70
NP_416480.1,20
NP_416517.1,3
NP_418140.4,1
NP_416816.1,8
NP_415978.1,258
NP_416194.1,5
NP_415241.1,0
NP_416471.1,2
NP_418611.1,159
NP_418791.1,66
NP_416968.2,51
NP_417503.1,23
NP_417620.1,10
NP_418639.1,12
NP_417070.2,29
NP_417556.2,1
NP_418794.1,4
NP_416268.2,17
NP_416307.1,6
NP_416482.1,27
NP_416282.4,34
NP_415907.1,0
NP_414902.1,2
NP_414985.1,53
NP_414592.1,13
NP_415734.1,43
NP_417867.1,0
NP_417883.1,13
NP_415704.1,0
NP_417960.1,2
NP_415709.2,2
NP_416220.1,1
NP_416311.1,2
NP_418712.1,3
NP_414597.1,1
NP_415370.1,142
NP_417083.1,0
NP_416805.1,20
NP_416516.1,3407
NP_415938.1,0
NP_416448.1,0
NP_416452.1,15
NP_416395.1,2
NP_418736.3,0
NP_417294.4,0
NP_417305.1,7
NP_415435.1,14
NP_416831.1,7
NP_417181.1,33
NP_417438.2,0
NP_415168.1,7
NP_416638.4,0
NP_418079.1,8
NP_417096.1,4
NP_417317.1,4
NP_417341.4,2
NP_415555.1,27
NP_415711.2,170
NP_417830.4,1
NP_415636.1,2
NP_417675.1,0
NP_415846.1,2
NP_415390.4,2
NP_417621.2,8
NP_416098.1,1
NP_418080.1,3
NP_416564.4,0
NP_416172.1,0
NP_416236.1,2
NP_417267.1,1
NP_415617.1,15
NP_414815.1,0
NP_418092.1,3
NP_417436.1,3
NP_415242.1,0
NP_418426.2,8
NP_416150.1,11
NP_418622.1,9
NP_415000.1,16
NP_417299.1,1
NP_414932.1,11
NP_416277.1,0
NP_418256.1,16
NP_417370.1,10
NP_415397.1,0
NP_416716.1,13
NP_418680.1,4
NP_418109.1,3
NP_414976.1,41
NP_415629.4,2
NP_414997.1,21
NP_417704.1,648
NP_416492.1,43
NP_416088.1,20
NP_418284.1,56
NP_418513.4,58
NP_418487.1,1
NP_418662.1,5
NP_418744.1,8
NP_415680.1,2
NP_415836.1,29
NP_417576.1,5
NP_416075.1,2
NP_415510.1,46
NP_415020.1,49
NP_415902.1,4
NP_417869.1,4
YP_026216.2,1
NP_418221.1,8
NP_414879.3,23
NP_417493.1,34
NP_416922.1,5
NP_416426.1,8
NP_417706.1,35
NP_418672.4,124
NP_415589.1,16
NP_418548.1,1
NP_416629.4,2
NP_416882.1,15
NP_418308.1,6
NP_418612.1,31
NP_417215.2,2
NP_415663.1,5
NP_417345.1,0
NP_418323.1,7
NP_415473.1,117
NP_416318.1,2
NP_416232.3,86
NP_417758.1,151
NP_416758.1,6
NP_417726.1,22
NP_416645.1,0
NP_417555.4,0
NP_415798.2,102
NP_416349.2,42
NP_415380.1,4
NP_418063.1,40
NP_417265.1,2
NP_417058.1,46
NP_414717.2,44
NP_415915.1,18
NP_415769.1,67
NP_414911.1,4
NP_416123.1,39
NP_415786.1,165
NP_417530.2,18
NP_415728.1,6
NP_418248.1,12
NP_414955.1,11
NP_417654.1,82
NP_415163.2,2
NP_418294.1,22
NP_418293.2,12
NP_415916.1,0
NP_417430.1,1
NP_416497.1,30
NP_416768.4,3
NP_415441.1,11
NP_414610.1,18
NP_415358.1,1
NP_417894.2,16
NP_414937.2,1
NP_418122.1,1
YP_025302.1,2
NP_417602.4,18
NP_416250.1,1
NP_417595.1,3
NP_417105.1,19
NP_418038.1,46
YP_588476.1,147
NP_415796.1,14
NP_416677.1,0
NP_417219.1,7
YP_026286.1,0
NP_418250.1,3
NP_416010.1,7
NP_414886.1,13
NP_415108.1,91
NP_415239.1,131
YP_026258.1,7
NP_417322.1,0
NP_415049.1,0
NP_416151.1,0
NP_415842.2,9
NP_415642.1,30
NP_416428.1,132
YP_026185.1,5
NP_418755.4,0
NP_418000.1,15
NP_417999.1,49
NP_417935.1,5
NP_416963.1,5
YP_026287.1,128
NP_415770.1,4
NP_416521.2,81
NP_417228.1,28
NP_414730.1,1
NP_418331.1,1
NP_415743.1,0
NP_415745.1,0
NP_416782.1,229
NP_416780.1,10
NP_416779.2,20
NP_415910.1,0
NP_414840.1,0
NP_418193.1,286
NP_414963.1,136
YP_026191.1,0
NP_417467.1,15
YP_026205.1,30
NP_417344.1,2
NP_416018.1,6
YP_026196.1,0
NP_416105.4,0
NP_416781.1,2
NP_417797.1,3
NP_415579.1,113
NP_416084.1,7
NP_416754.1,21
NP_416327.1,10
NP_415799.1,4074
NP_416762.2,4
NP_415874.1,166
NP_417273.1,77
NP_414855.1,1
NP_414912.1,1
NP_415323.1,75
NP_415374.1,111
NP_415695.1,22
NP_415723.1,0
NP_415771.1,10
NP_416019.1,4
NP_416190.1,74
NP_416425.1,259
NP_416897.2,12
NP_416898.3,15
NP_416927.1,56
NP_417005.2,6
NP_417050.1,10
NP_417310.1,4
NP_417599.1,8
NP_417916.1,8
YP_588471.1,0
NP_418355.1,12
NP_418447.1,192
NP_418609.4,4
NP_415525.2,17
NP_415683.1,0
NP_415690.5,0
NP_416103.2,1
NP_416324.2,7
NP_417571.1,0
NP_417674.1,12
NP_418455.1,1
NP_415160.1,45
NP_417954.1,35
NP_416852.1,4
NP_415572.1,0
NP_418236.1,27
NP_417927.1,274
NP_417803.1,21
NP_418231.1,1
,171
NP_417278.4,3
NP_417353.1,44
